iter	Passed	Remaining
0	176	17463
1	203	9949
2	228	7375
3	249	5981
4	266	5065
5	286	4484
6	305	4055
7	326	3759
8	348	3523
9	371	3344
10	390	3155
11	409	3000
12	427	2862
13	450	2766
14	474	2690
15	494	2595
16	515	2517
17	538	2453
18	557	2374
19	575	2303
20	592	2229
21	612	2170
22	632	2117
23	652	2067
24	672	2017
25	690	1966
26	716	1937
27	739	1902
28	762	1867
29	781	1823
30	798	1777
31	820	1744
32	843	1712
33	863	1675
34	884	1642
35	905	1610
36	930	1584
37	949	1549
38	968	1515
39	987	1481
40	1014	1459
41	1038	1433
42	1061	1406
43	1089	1386
44	1112	1359
45	1137	1335
46	1160	1308
47	1185	1284
48	1215	1265
49	1240	1240
50	1263	1214
51	1290	1191
52	1315	1166
53	1339	1141
54	1359	1112
55	1383	1087
56	1403	1058
57	1424	1031
58	1443	1003
59	1467	978
60	1492	954
61	1514	928
62	1542	905
63	1568	882
64	1592	857
65	1608	828
66	1625	800
67	1652	777
68	1674	752
69	1698	728
70	1721	703
71	1738	676
72	1761	651
73	1779	625
74	1799	599
75	1818	574
76	1837	548
77	1857	523
78	1879	499
79	1897	474
80	1916	449
81	1937	425
82	1958	401
83	1978	376
84	1997	352
85	2017	328
86	2033	303
87	2052	279
88	2068	255
89	2086	231
90	2102	207
91	2118	184
92	2131	160993	2152	137
94	2171	114
95	2184	91
96	2198	67
97	2211	45
98	2222	22
99	2234	0
