iter	MAE
0	16.6554338
1	16.16728155
2	15.44143641
3	14.81156125
4	14.12321836
5	13.51123743
6	12.95603237
7	12.30128656
8	11.94836737
9	11.44119109
10	11.18568884
11	10.7484839
12	10.27433295
13	9.859841622
14	9.507074951
15	9.047148539
16	8.646233962
17	8.295842633
18	7.968358295
19	7.66032955
20	7.343317537
21	7.059913744
22	6.777750566
23	6.537305001
24	6.275804874
25	6.1277396
26	5.868852836
27	5.692657621
28	5.495512514
29	5.296446595
30	5.079589984
31	4.921249236
32	4.729152438
33	4.557840687
34	4.424479804
35	4.306531225
36	4.17341683
37	4.095436138
38	3.973821773
39	3.8319562
40	3.724168725
41	3.638559708
42	3.544170293
43	3.437853096
44	3.299699782
45	3.18871683
46	3.091439235
47	3.056164185
48	2.962273123
49	2.885852442
50	2.814214048
51	2.733831317
52	2.66609665
53	2.565742814
54	2.51185113
55	2.4429608
56	2.37728571
57	2.358592767
58	2.317596184
59	2.278388251
60	2.18237553
61	2.133793302
62	2.088102568
63	2.045016589
64	2.009311846
65	1.972685453
66	1.900755829
67	1.873884517
68	1.854267009
69	1.829286132
70	1.792588804
71	1.769027583
72	1.695783939
73	1.679097931
74	1.622466992
75	1.597615387
76	1.579206669
77	1.559257256
78	1.545903943
79	1.528546992
80	1.504658573
81	1.482697659
82	1.437196726
83	1.427497476
84	1.418166265
85	1.396095637
86	1.37319511
87	1.360819989
88	1.34226387
89	1.325051741
90	1.308274757
91	1.295025427
92	1.281793959
93	1.267506532
94	1.25036296
95	1.210714581
96	1.197192449
97	1.18470641
98	1.14548915
99	1.131835621
100	1.111922288
101	1.08045077
102	1.069141778
103	1.041722661
104	1.029316279
105	1.019882197
106	1.011058268
107	0.9985090585
108	0.9895662661
109	0.9801675448
110	0.9665832077
111	0.9537273383
112	0.9437784891
113	0.931552036
114	0.9067887204
115	0.8974169745
116	0.8892252275
117	0.881788357
118	0.8661216831
119	0.862537626
120	0.850099438
121	0.8176495071
122	0.7951531569
123	0.7894701938
124	0.7845060019
125	0.774306934
126	0.7707430502
127	0.7637700012
128	0.7599052946
129	0.7392241654
130	0.7327664424
131	0.7277830071
132	0.7033335013
133	0.6862467011
134	0.6771920114
135	0.6728797388
136	0.6566913819
137	0.6527175348
138	0.6496535831
139	0.6484187213
140	0.6404488908
141	0.6241909841
142	0.6211864298
143	0.6164527987
144	0.6109343448
145	0.5954517349
146	0.5929254017
147	0.5905683401
148	0.5863597039
149	0.5827597528
150	0.5654128941
151	0.5490572613
152	0.5449617333
153	0.5409095044
154	0.5388672441
155	0.5368700642
156	0.5358203664
157	0.5222867046
158	0.5213563858
159	0.520254178
160	0.5181061496
161	0.5153430137
162	0.5126945558
163	0.5101651411
164	0.5086419137
165	0.4981310316
166	0.4948659122
167	0.4931890841
168	0.4880049186
169	0.4843862903
170	0.4813074867
171	0.4794798005
172	0.476623638
173	0.4739281784
174	0.4713717684
175	0.4689248696
176	0.4666003158
177	0.4652346797
178	0.4631186363
179	0.4610859593
180	0.4591549161
181	0.4573204252
182	0.4555885024
183	0.4539462524
184	0.452952381
185	0.4514333138
186	0.450694072
187	0.4500958087
188	0.4495303801
189	0.4481716498
190	0.4436306761
191	0.4431853882
192	0.4425139918
193	0.4418761652
194	0.4412759028
195	0.4408739006
196	0.4403216166
197	0.439801719
198	0.4306374368
199	0.4219313691
200	0.4136606046
201	0.4058033782
202	0.3983390132
203	0.3912478667
204	0.3845112777
205	0.3781115177
206	0.3720317457
207	0.3662559623
208	0.3607696724
209	0.3581203477
210	0.3560790246
211	0.3552674246
212	0.3532026158
213	0.3527185771
214	0.3524352185
215	0.3519495191
216	0.3514371831
217	0.3497436888
218	0.3481348694
219	0.3466064908
220	0.3451545313
221	0.3437751697
222	0.3424647762
223	0.3412199024
224	0.3400372722
225	0.3389137736
226	0.33784645
227	0.3368324925
228	0.3358692328
229	0.3349541362
230	0.3340868645
231	0.3323222851
232	0.3321440529
233	0.3313790361
234	0.331219245
235	0.3310714862
236	0.3259488916
237	0.3258541189
238	0.3209914936
239	0.3163719998
240	0.3119853035
241	0.3078427776
242	0.3039073779
243	0.3001710256
244	0.2965504827
245	0.2931381695
246	0.2899207826
247	0.286864265
248	0.2839605733
249	0.2812020662
250	0.2785815085
251	0.2742892873
252	0.2718395184
253	0.271719082
254	0.2715503957
255	0.2713901437
256	0.2712431049
257	0.2711720429
258	0.2694629608
259	0.2684843369
260	0.2663779429
261	0.2663303386
262	0.2640266215
263	0.263191728
264	0.2612211328
265	0.2593531261
266	0.2585549652
267	0.2552139814
268	0.2531228641
269	0.2514382223
270	0.2498423859
271	0.2497810218
272	0.2492320855
273	0.2491345061
274	0.2490246896
275	0.247932972
276	0.2468484922
277	0.2447863929
278	0.2446843922
279	0.2446545359
280	0.2446184453
281	0.2445833154
282	0.2435840869
283	0.2426076603
284	0.2416807358
285	0.2416112763
286	0.2415407995
287	0.2414726424
288	0.2384927788
289	0.238378436
290	0.2375685884
291	0.2356131569
292	0.2355345585
293	0.2336840049
294	0.2336733161
295	0.2336633897
296	0.2336539596
297	0.2336450027
298	0.2314213499
299	0.2313537955
300	0.2312914394
301	0.2305115749
302	0.2304833992
303	0.2284054169
304	0.2266571723
305	0.2249963399
306	0.2234185492
307	0.2219196479
308	0.2204956918
309	0.2191429334
310	0.2178578527
311	0.2166796902
312	0.2155929977
313	0.21240444
314	0.2114346219
315	0.210495554
316	0.210114677
317	0.2090069181
318	0.2078336592
319	0.2078198814
320	0.207798025
321	0.2074028019
322	0.2073681745
323	0.2073539314
324	0.2065614363
325	0.2065268336
326	0.2064985399
327	0.2064716608
328	0.2064461272
329	0.2063894838
330	0.2063393932
331	0.2056212646
332	0.2052857852
333	0.2049609978
334	0.2043078455
335	0.2036873508
336	0.2030978807
337	0.2025378842
338	0.2020058875
339	0.2015004907
340	0.2010203637
341	0.200564243
342	0.2001309284
343	0.1997192807
344	0.199705466
345	0.1996954934
346	0.1996860584
347	0.1996752413
348	0.199652979
349	0.1993729446
350	0.199106912
351	0.1988541853
352	0.1978166325
353	0.1978029348
354	0.1977969082
355	0.1977911848
356	0.1970779705
357	0.1970731416
358	0.1970665827
359	0.1958859608
360	0.195802256
361	0.1957969915
362	0.1957176441
363	0.1950572237
364	0.194980615
365	0.1949050025
366	0.1933571877
367	0.1918864981
368	0.1918627267
369	0.1902407765
370	0.1896128389
371	0.1876929063
372	0.1864336401
373	0.1864291919
374	0.186409351
375	0.1863876595
376	0.1863670525
377	0.1863476086
378	0.1863296704
379	0.1857257988
380	0.1857098525
381	0.1856898933
382	0.1856869551
383	0.1856841651
384	0.1856819269
385	0.1856798006
386	0.185677782
387	0.1856470652
388	0.1848769827
389	0.1841326375
390	0.1834252849
391	0.1827634398
392	0.1821262077
393	0.1815197245
394	0.1809506804
395	0.1804053178
396	0.1799031475
397	0.1797649129
398	0.1794323669
399	0.179342864
400	0.1792578386
401	0.1791770664
402	0.179100341
403	0.1790789857
404	0.1790597319
405	0.1786110842
406	0.1781845333
407	0.1777793117
408	0.1776359225
409	0.1770922816
410	0.1770416442
411	0.1768649206
412	0.1766970332
413	0.1765375401
414	0.1763860217
415	0.1762420788
416	0.176105333
417	0.1759754247
418	0.1758520118
419	0.1757347692
420	0.1756233887
421	0.1755175772
422	0.1754170563
423	0.1753215615
424	0.1752308412
425	0.175144657
426	0.175062782
427	0.1749850004
428	0.1749111083
429	0.1748953328
430	0.1748945499
431	0.1748252157
432	0.174759353
433	0.1747112231
434	0.1746654999
435	0.1746072441
436	0.1745657849
437	0.1745263986
438	0.1744889816
439	0.1744534367
440	0.1744051481
441	0.174057019
442	0.1740407444
443	0.1740268071
444	0.1740135683
445	0.174009551
446	0.1740057553
447	0.173973014
448	0.1739419098
449	0.1739123607
450	0.1736121739
451	0.1733269964
452	0.1730560778
453	0.1727987051
454	0.1727707214
455	0.1725262983
456	0.1722940963
457	0.1720735045
458	0.1720469726
459	0.1719776747
460	0.1719118425
461	0.1719085325
462	0.1719053395
463	0.1718928663
464	0.1718810168
465	0.1718697598
466	0.1718590656
467	0.1718497378
468	0.1718249584
469	0.1715134655
470	0.1714826086
471	0.1714532945
472	0.1714254461
473	0.1713989902
474	0.1713738571
475	0.1713499806
476	0.1713272979
477	0.1713057509
478	0.1713055743
479	0.1712996575
480	0.1712940489
481	0.1712787741
482	0.1712642632
483	0.1712504778
484	0.1712373828
485	0.1712090122
486	0.1711820601
487	0.1711564557
488	0.1711321314
489	0.1711090234
490	0.1710870708
491	0.1710662163
492	0.1710631352
493	0.170783231
494	0.1707815569
495	0.170776709
496	0.1707739429
497	0.1707643148
498	0.170281836
499	0.1690299652
500	0.1688516375
501	0.167445298
502	0.1674452345
503	0.1674451762
504	0.1672737348
505	0.1663759669
506	0.1663734365
507	0.1655205622
508	0.1647103315
509	0.1639406159
510	0.1639404889
511	0.1639378516
512	0.1639372516
513	0.1639366815
514	0.1639361406
515	0.16260623
516	0.1623668087
517	0.1623666279
518	0.1623661313
519	0.1623656596
520	0.1623652114
521	0.1623647886
522	0.1620122498
523	0.1620118167
524	0.1618656314
525	0.1618652323
526	0.1618648579
527	0.1607178317
528	0.1596261298
529	0.1595011161
530	0.159311327
531	0.1591310298
532	0.1590124142
533	0.1588035734
534	0.1584597633
535	0.1583120705
536	0.1573445842
537	0.1571628962
538	0.156990293
539	0.1568356601
540	0.1568260492
541	0.1568169188
542	0.1558884041
543	0.1550063152
544	0.1549972871
545	0.1547820661
546	0.1547734661
547	0.1547653071
548	0.1547582453
549	0.1547515367
550	0.1547451634
551	0.1547391088
552	0.154733357
553	0.1547278927
554	0.1547227017
555	0.1547177707
556	0.1545526237
557	0.154395734
558	0.1542466888
559	0.1541050959
560	0.1541008596
561	0.154096835
562	0.1540930117
563	0.1540893796
564	0.1539556412
565	0.1538285897
566	0.153825471
567	0.1538225081
568	0.1537021086
569	0.1536994325
570	0.1536968902
571	0.1535827674
572	0.153580471
573	0.1534721672
574	0.1534700928
575	0.1534681222
576	0.1533654322
577	0.1532678767
578	0.1532661839
579	0.1532645757
580	0.1531720598
581	0.1531706069
582	0.1530827879
583	0.1530814752
584	0.1530806206
585	0.1529967033
586	0.1528579607
587	0.1520322675
588	0.1512478606
589	0.1512472592
590	0.1512466879
591	0.1512461451
592	0.1512456295
593	0.1512451396
594	0.1512446743
595	0.1512442322
596	0.1512438122
597	0.1512434132
598	0.1512430342
599	0.1512426741
600	0.1512423323
601	0.1505286074
602	0.1497900046
603	0.1491362053
604	0.1484123107
605	0.1477301473
606	0.1471673309
607	0.1466326602
608	0.1461245108
609	0.1456419696
610	0.1451832005
611	0.1447477248
612	0.1443338221
613	0.1439408033
614	0.1435674401
615	0.143212551
616	0.1428753162
617	0.1425552213
618	0.1422511313
619	0.1419620225
620	0.1415542773
621	0.1412913286
622	0.1410666894
623	0.1407840982
624	0.1407259412
625	0.1407107089
626	0.1404616372
