iter	Passed	Remaining
0	1	834
1	1	588
2	2	563
3	2	563
4	4	702
5	5	776
6	7	845
7	8	889
8	9	849
9	11	874
10	11	828
11	12	796
12	12	777
13	13	774
14	14	762
15	16	785
16	17	804
17	18	813
18	20	825
19	21	835
20	22	845
21	24	849
22	25	858
23	27	875
24	28	887
25	29	890
26	31	898
27	31	876
28	32	870
29	34	880
30	35	889
31	36	874
32	38	884
33	39	886
34	39	872
35	41	874
36	42	884
37	43	879
38	45	886
39	46	883
40	47	879
41	48	866
42	48	859
43	49	852
44	51	856
45	52	855
46	53	860
47	53	845
48	55	845
49	56	850
50	58	853
51	59	856
52	60	857
53	62	856
54	63	854
55	64	854
56	65	853
57	65	841
58	66	835
59	67	832
60	69	838
61	70	842
62	72	845
63	73	843
64	74	846
65	76	847
66	77	848
67	77	838
68	78	830
69	79	831
70	80	830
71	81	824
72	83	827
73	83	819
74	84	817
75	85	816
76	86	811
77	87	809
78	87	801
79	88	798
80	90	801
81	91	803
82	92	801
83	93	795
84	93	789
85	95	791
86	97	795
87	97	791
88	99	793
89	100	794
90	101	791
91	102	786
92	103	783
93	104	784
94	105	785
95	107	787
96	108	787
97	109	787
98	111	787
99	112	788
100	114	789
101	115	790
102	116	790
103	118	791
104	119	789
105	120	789
106	121	786
107	122	787
108	124	788
109	125	789
110	127	789
111	128	790
112	129	787
113	130	787
114	132	787
115	133	787
116	134	787
117	136	788
118	137	788
119	139	790
120	140	791
121	142	791
122	144	792
123	145	793
124	146	793
125	148	793
126	149	794
127	151	794
128	153	795
129	154	796
130	155	796
131	157	797
132	158	797
133	160	796
134	161	796
135	163	797
136	164	797
137	166	798
138	167	797
139	169	797
140	170	797
141	172	797
142	173	795
143	174	795
144	175	794
145	177	793
146	178	793
147	179	792
148	181	791
149	182	791
150	184	791
151	185	792
152	187	792
153	188	791
154	190	790
155	191	790
156	192	790
157	194	789
158	195	789
159	197	790
160	199	791
161	201	791
162	202	791
163	203	790
164	205	790
165	206	790
166	208	789
167	209	789
168	211	788
169	212	788
170	214	787
171	215	787
172	216	786
173	218	785
174	219	785
175	221	784
176	222	783
177	223	782
178	225	780
179	226	779
180	227	779
181	229	778
182	231	778
183	232	778
184	233	777
185	235	776
186	236	775
187	238	775
188	239	775
189	241	774
190	242	774
191	244	774
192	246	774
193	247	773
194	248	772
195	250	771
196	251	770
197	253	769
198	254	768
199	256	768
200	257	767
201	259	767
202	260	767
203	262	766
204	263	766
205	265	765
206	266	764
207	268	763
208	269	762
209	271	761
210	272	760
211	274	759
212	275	758
213	277	759
214	278	757
215	279	756
216	281	755
217	282	754
218	284	753
219	285	752
220	286	750
221	288	750
222	289	749
223	291	748
224	292	748
225	294	747
226	295	746
227	297	745
228	298	744
229	300	743
230	301	742
231	302	741
232	304	740
233	305	739
234	307	738
235	308	738
236	310	738
237	312	737
238	314	737
239	315	736
240	317	735
241	318	735
242	320	734
243	321	732
244	323	731
245	325	732
246	326	731
247	328	730
248	329	729
249	330	727
250	332	726
251	333	725
252	335	725
253	336	724
254	338	723
255	339	722
256	341	721
257	343	720
258	344	720
259	346	718
260	347	717
261	348	716
262	350	715
263	351	713
264	352	712
265	354	711
266	356	710
267	357	709
268	359	708
269	360	707
270	361	705
271	363	704
272	364	704
273	366	703
274	368	702
275	369	701
276	371	700
277	372	700
278	374	699
279	375	697
280	376	696
281	378	695
282	380	694
283	381	693
284	382	691
285	384	690
286	385	689
287	387	688
288	389	687
289	390	687
290	392	686
291	393	685
292	395	684
293	396	682
294	397	679
295	397	676
296	397	673
297	398	670
298	399	669
299	400	668
300	402	667
301	404	667
302	405	665
303	407	664
304	408	663
305	410	662
306	411	660
307	412	659
308	414	658
309	416	657
310	417	656
311	419	656
312	421	655
313	422	654
314	424	653
315	425	651
316	427	650
317	428	649
318	429	648
319	431	646
320	432	645
321	434	645
322	436	644
323	437	643
324	439	642
325	441	641
326	442	640
327	444	639
328	445	638
329	447	637
330	448	635
331	450	634
332	451	633
333	455	635
334	456	634
335	458	632
336	459	631
337	461	630
338	462	629
339	464	628
340	466	627
341	467	626
342	469	625
343	471	624
344	472	623
345	474	622
346	475	621
347	477	620
348	479	619
349	481	618
350	482	617
351	484	616
352	485	615
353	487	613
354	488	612
355	490	611
356	491	610
357	493	609
358	494	607
359	496	606
360	498	605
361	499	604
362	501	603
363	502	602
364	504	601
365	505	599
366	506	598
367	508	596
368	509	595
369	511	594
370	512	592
371	514	591
372	515	590
373	517	589
374	518	588
375	520	586
376	522	585
377	523	584
378	524	583
379	526	582
380	528	580
381	530	580
382	532	579
383	533	578
384	535	577
385	537	576
386	538	574
387	540	573
388	541	572
389	543	571
390	544	569
391	546	568
392	548	567
393	549	566
394	551	565
395	553	564
396	554	562
397	556	561
398	557	560
399	559	559
400	561	558
401	562	557
402	564	555
403	565	554
404	567	553
405	568	552
406	570	550
407	572	549
408	573	548
409	575	547
410	577	546
411	578	545
412	580	543
413	581	542
414	583	541
415	585	540
416	586	538
417	588	537
418	589	536
419	591	535
420	593	534
421	595	532
422	596	531
423	598	530
424	599	528
425	600	527
426	602	526
427	603	524
428	605	523
429	606	522
430	608	521
431	610	519
432	611	518
433	613	517
434	614	515
435	616	514
436	617	513
437	619	511
438	620	510
439	622	509
440	623	507
441	625	506
442	627	505
443	628	504
444	630	502
445	631	501
446	633	500
447	634	498
448	636	497
449	638	496
450	639	494
451	641	493
452	642	492
453	644	491
454	645	489
455	647	488
456	649	487
457	650	485
458	652	484
459	653	483
460	655	481
461	656	480
462	658	479
463	660	478
464	661	476
465	663	475
466	665	474
467	666	472
468	668	471
469	669	470
470	671	469
471	673	467
472	675	466
473	676	465
474	678	464
475	679	462
476	681	461
477	682	460
478	684	458
479	685	457
480	686	455
481	688	453
482	689	452
483	691	451
484	692	450
485	694	448
486	695	447
487	697	446
488	699	444
489	700	443
490	702	442
491	704	440
492	705	439
493	707	438
494	709	437
495	710	435
496	712	434
497	714	433
498	715	431
499	717	430
500	719	429
501	721	428
502	723	426
503	724	425
504	726	424
505	728	423
506	729	421
507	731	420
508	732	419
509	735	418
510	736	416
511	738	415
512	740	414
513	741	412
514	743	411
515	745	410
516	746	408
517	748	407
518	750	406
519	752	405
520	753	403
521	755	402
522	756	400
523	758	399
524	759	398
525	761	396
526	763	395
527	765	394
528	766	392
529	768	391
530	769	390
531	771	388
532	773	387
533	774	385
534	776	384
535	777	383
536	779	381
537	781	380
538	782	379
539	783	377
540	785	375
541	786	374
542	788	373
543	789	371
544	791	370
545	793	368
546	794	367
547	796	366
548	798	365
549	800	363
550	801	362
551	803	360
552	804	359
553	806	358
554	808	356
555	809	355
556	811	353
557	813	352
558	814	351
559	816	349
560	817	348
561	819	347
562	821	345
563	822	344
564	823	342
565	825	341
566	827	339
567	828	338
568	830	337
569	832	335
570	833	334
571	835	333
572	837	331
573	838	330
574	840	328
575	842	327
576	843	326
577	845	324
578	847	323
579	849	322
580	850	320
581	852	319
582	854	318
583	856	316
584	858	315
585	860	314
586	862	312
587	864	311
588	865	310
589	867	308
590	869	307
591	870	306
592	872	304
593	874	303
594	876	302
595	878	300
596	879	299
597	881	297
598	883	296
599	885	295
600	887	293
601	889	292
602	891	291
603	893	289
604	895	288
605	896	287
606	898	285
607	900	284
608	901	282
609	903	281
610	905	280
611	907	278
612	909	277
613	911	276
614	913	274
615	914	273
616	916	271
617	917	270
618	919	268
619	921	267
620	922	266
621	924	264
622	926	263
623	928	261
624	930	260
625	931	259
626	933	257
627	935	256
628	937	254
629	938	253
630	940	251
631	942	250
632	943	249
633	945	247
634	947	246
635	949	244
636	950	243
637	952	241
638	954	240
639	956	239
640	958	237
641	960	236
642	961	234
643	963	233
644	965	231
645	966	230
646	968	229
647	970	227
648	972	226
649	974	224
650	976	223
651	977	221
652	979	220
653	981	219
654	982	217
655	984	216
656	986	214
657	988	213
658	990	211
659	991	210
660	993	208
661	995	207
662	997	206
663	998	204
664	1000	203
665	1001	201
666	1003	200
667	1005	198
668	1006	197
669	1008	195
670	1010	194
671	1012	192
672	1014	191
673	1015	189
674	1016	188
675	1017	186
676	1019	185
677	1021	183
678	1023	182
679	1024	180
680	1026	179
681	1028	177
682	1029	176
683	1031	174
684	1033	173
685	1035	172
686	1037	170
687	1039	169
688	1040	167
689	1042	166
690	1044	164
691	1045	163
692	1047	161
693	1049	160
694	1050	158
695	1052	157
696	1053	155
697	1055	154
698	1057	152
699	1058	151
700	1060	149
701	1062	148
702	1063	146
703	1065	145
704	1067	143
705	1069	142
706	1070	140
707	1072	139
708	1074	137
709	1076	136
710	1077	134
711	1079	133
712	1081	131
713	1083	130
714	1085	129
715	1087	127
716	1088	126
717	1090	124
718	1092	123
719	1094	121
720	1096	120
721	1098	118
722	1100	117
723	1101	115
724	1103	114
725	1105	112
726	1107	111
727	1108	109
728	1110	108
729	1112	106
730	1114	105
731	1115	103
732	1117	102
733	1119	100
734	1121	99
735	1122	97
736	1124	96
737	1126	94
738	1128	93
739	1130	91
740	1132	90
741	1134	88
742	1136	87
743	1138	85
744	1140	84
745	1142	82
746	1144	81
747	1146	79
748	1148	78
749	1150	76
750	1152	75
751	1154	73
752	1156	72
753	1158	70
754	1161	69
755	1163	67
756	1165	66
757	1167	64
758	1169	63
759	1171	61
760	1172	60
761	1174	58
762	1176	57
763	1178	55
764	1180	54
765	1182	52
766	1184	50
767	1186	49
768	1188	47
769	1190	46
770	1191	44
771	1193	43
772	1195	41
773	1197	40
774	1199	38
775	1201	37
776	1203	35
777	1205	34
778	1207	32
779	1209	31
780	1211	29
781	1212	27
782	1215	26
783	1216	24
784	1218	23
785	1221	21
786	1223	20
787	1225	18
788	1227	17
789	1229	15
790	1231	14
791	1234	12
792	1236	10
793	1238	9
794	1240	7
795	1242	6
796	1244	4
797	1246	3
798	1249	1
799	1251	0
