iter	RMSE
0	0.5788778798
1	0.5695752617
2	0.5623525834
3	0.5526883303
4	0.5486658758
5	0.5372243688
6	0.5299182036
7	0.5237320544
8	0.5149052246
9	0.5076522185
10	0.5022950743
11	0.4956421127
12	0.4884762946
13	0.4802195811
14	0.4720004488
15	0.4664321538
16	0.4599857592
17	0.4531599349
18	0.447808622
19	0.4413957267
20	0.4389657703
21	0.432506138
22	0.4283899851
23	0.4235101271
24	0.418103452
25	0.4133078438
26	0.4085215665
27	0.4044128855
28	0.4013464796
29	0.3990422899
30	0.3944925569
31	0.3933725436
32	0.3887256932
33	0.385241607
34	0.3821512802
35	0.3793456952
36	0.3758714911
37	0.3732890835
38	0.3706449645
39	0.3684333535
40	0.3654248547
41	0.3629517447
42	0.3606878017
43	0.3589344507
44	0.3570741203
45	0.3561876391
46	0.3549228329
47	0.3526743479
48	0.3505807545
49	0.348693801
50	0.3466177574
51	0.3457792403
52	0.3436953938
53	0.3415882764
54	0.3398858281
55	0.3384941854
56	0.3369076405
57	0.3354138706
58	0.3341254825
59	0.3321704135
60	0.3303263269
61	0.3290813376
62	0.3273521921
63	0.3271177298
64	0.3259326231
65	0.3247331408
66	0.3239154932
67	0.3227793652
68	0.3217532484
69	0.3202503037
70	0.3190408927
71	0.3184514101
72	0.3181325994
73	0.3168437263
74	0.3158676778
75	0.3146559984
76	0.3138880407
77	0.3133896768
78	0.3129521005
79	0.3120022372
80	0.311734536
81	0.3112208568
82	0.3099649032
83	0.3090548688
84	0.3084116435
85	0.3074148987
86	0.3067337772
87	0.3055767556
88	0.3051160359
89	0.3045461125
90	0.3039403882
91	0.3032134754
92	0.3032079124
93	0.3029977336
94	0.3024946661
95	0.301939771
96	0.3003709728
97	0.2997901291
98	0.2993557032
99	0.2990585892
100	0.2982207687
101	0.2973620697
102	0.2969155585
103	0.2962606436
104	0.2957687591
105	0.2950581341
106	0.2946445474
107	0.2941567433
108	0.2937318294
109	0.2933434413
110	0.292877971
111	0.2926328658
112	0.2920777007
113	0.2917641416
114	0.291362292
115	0.290930239
116	0.2905831751
117	0.290346979
118	0.2900441278
119	0.2891009152
120	0.288740867
121	0.2886417245
122	0.2883038088
123	0.2878570747
124	0.2871411965
125	0.2867842327
126	0.2865092351
127	0.2855951357
128	0.2850352658
129	0.284870313
130	0.2838775539
131	0.2836932118
132	0.283352623
133	0.2827112438
134	0.2821683699
135	0.2814278927
136	0.2808447921
137	0.2805280494
138	0.280256987
139	0.2800225691
140	0.2797430136
141	0.2794880479
142	0.2791330561
143	0.2787669538
144	0.2785687244
145	0.2782151127
146	0.2780140684
147	0.2777888946
148	0.2774948796
149	0.2773136412
150	0.277146771
151	0.2765662353
152	0.276344991
153	0.2761399422
154	0.2758122638
155	0.2755457053
156	0.2751444309
157	0.2748081144
158	0.2745324913
159	0.2744567491
160	0.2742053978
161	0.2735240745
162	0.2732575417
163	0.2730485161
164	0.2725930655
165	0.2720489145
166	0.2718111429
167	0.2716673959
168	0.2714611096
169	0.2712048859
170	0.2709164842
171	0.270521198
172	0.2703979837
173	0.2699098053
174	0.2694389043
175	0.2689111754
176	0.2683275749
177	0.2680252852
178	0.2677148465
179	0.2676371771
180	0.2673309113
181	0.2669792851
182	0.2667231263
183	0.2664800253
184	0.2663810585
185	0.2662311063
186	0.2657766233
187	0.2653364665
188	0.2650639726
189	0.2644025472
