iter	Passed	Remaining
0	2	5492
1	3	4832
2	5	4642
3	22	15100
4	27	14805
5	34	15216
6	48	18205
7	50	16626
8	50	14986
9	58	15429
10	60	14636
11	62	13740
12	63	12933
13	65	12282
14	66	11765
15	68	11367
16	72	11232
17	76	11199
18	78	10905
19	81	10748
20	83	10453
21	85	10169
22	86	9860
23	87	9584
24	88	9341
25	90	9115
26	91	8913
27	93	8748
28	94	8595
29	96	8455
30	98	8292
31	99	8155
32	101	8026
33	102	7926
34	104	7816
35	105	7708
36	107	7607
37	108	7490
38	110	7391
39	111	7302
40	113	7209
41	114	7136
42	116	7048
43	117	6955
44	118	6858
45	119	6778
46	120	6702
47	122	6627
48	123	6551
49	124	6483
50	126	6432
51	127	6394
52	129	6345
53	130	6301
54	132	6239
55	133	6201
56	135	6169
57	136	6114
58	138	6075
59	139	6029
60	140	5976
61	141	5935
62	143	5893
63	144	5860
64	146	5826
65	147	5788
66	149	5769
67	151	5746
68	151	5691
69	153	5672
70	155	5653
71	157	5631
72	158	5599
73	160	5590
74	162	5578
75	163	5555
76	165	5524
77	166	5495
78	167	5474
79	169	5454
80	170	5402
81	171	5369
82	172	5335
83	173	5307
84	174	5274
85	175	5226
86	176	5203
87	177	5177
88	178	5153
89	180	5135
90	181	5115
91	182	5095
92	184	5079
93	185	5063
94	187	5050
95	188	5031
96	189	4994
97	191	4986
98	192	4975
99	194	4958
100	195	4930
101	196	4915
102	197	4901
103	199	4884
104	200	4868
105	202	4857
106	203	4840
107	204	4830
108	206	4823
109	207	4807
110	208	4786
111	210	4772
112	211	4754
113	212	4740
114	214	4728
115	215	4717
116	216	4702
117	218	4688
118	219	4671
119	220	4658
120	222	4654
121	224	4654
122	225	4650
123	227	4645
124	229	4635
125	230	4623
126	231	4612
127	233	4601
128	234	4596
129	237	4603
130	246	4754
131	248	4753
132	250	4748
133	252	4745
134	254	4746
135	256	4740
136	257	4730
137	258	4718
138	260	4704
139	261	4694
140	262	4686
141	264	4673
142	265	4664
143	266	4653
144	268	4647
145	269	4637
146	271	4633
147	273	4627
148	274	4617
149	275	4596
150	276	4585
151	278	4580
152	280	4578
153	280	4555
154	282	4546
155	284	4549
156	286	4550
157	287	4547
158	289	4547
159	291	4544
160	292	4533
161	294	4524
162	295	4512
163	296	4501
164	297	4494
165	300	4500
166	302	4497
167	303	4493
168	304	4481
169	306	4479
170	307	4469
171	309	4462
172	310	4457
173	311	4446
174	313	4440
175	315	4437
176	316	4429
177	318	4424
178	320	4425
179	321	4415
180	322	4405
181	323	4396
182	324	4387
183	325	4375
184	327	4364
185	328	4353
186	329	4345
187	330	4339
188	332	4332
189	333	4329
190	335	4322
191	336	4315
192	337	4309
193	339	4303
194	340	4294
195	341	4285
196	342	4276
197	344	4267
198	345	4268
199	347	4261
200	348	4256
201	349	4246
202	350	4237
203	352	4229
204	353	4220
205	354	4211
206	355	4202
207	356	4193
208	357	4182
209	358	4174
210	359	4166
211	361	4158
212	362	4153
213	363	4145
214	364	4138
215	365	4131
216	367	4124
217	368	4118
218	369	4112
219	370	4103
220	372	4095
221	373	4088
222	374	4081
223	375	4073
224	376	4067
225	378	4064
226	379	4057
227	380	4051
228	382	4045
229	383	4039
230	384	4034
231	385	4027
232	387	4022
233	388	4017
234	389	4009
235	390	4004
236	392	4000
237	393	3996
238	395	3992
239	396	3987
240	397	3983
241	399	3978
242	400	3972
243	401	3965
244	402	3959
245	403	3953
246	405	3947
247	406	3940
248	407	3936
249	409	3933
250	410	3929
251	411	3924
252	413	3919
253	414	3912
254	415	3905
255	416	3898
256	417	3891
257	418	3885
258	419	3878
259	420	3871
260	421	3863
261	422	3861
262	424	3855
263	425	3850
264	426	3846
265	427	3841
266	429	3837
267	430	3831
268	431	3826
269	432	3820
270	433	3814
271	434	3807
272	435	3801
273	437	3799
274	438	3794
275	439	3789
276	440	3783
277	442	3779
278	443	3776
279	444	3771
